Gene_ID,Transcript_ID,Gene_Symbol,Description,gene_biotype,Protein_ID,HGNC,MIM,Ensembl,IMGT/GENE-DB,RC802DMSO6H-1_Read_Count,RC802DMSO6H-2_Read_Count,RC802DMSO6H-3_Read_Count,TDP43DMSO6H-1_Read_Count,TDP43DMSO6H-2_Read_Count,TDP43DMSO6H-3_Read_Count,TD-KODMSO6H-1_Read_Count,TD-KODMSO6H-2_Read_Count,TD-KODMSO6H-3_Read_Count,RC802ROPI6H-1_Read_Count,RC802ROPI6H-2_Read_Count,RC802ROPI6H-3_Read_Count,TDP43ROPI6H-1_Read_Count,TDP43ROPI6H-2_Read_Count,TDP43ROPI6H-3_Read_Count,TD-KOROPI6H-1_Read_Count,TD-KOROPI6H-2_Read_Count,TD-KOROPI6H-3_Read_Count,RC802DMSO36H-1_Read_Count,RC802DMSO36H-2_Read_Count,RC802DMSO36H-3_Read_Count,TDP43DMSO36H-1_Read_Count,TDP43DMSO36H-2_Read_Count,TDP43DMSO36H-3_Read_Count,TD-KODMSO36H-1_Read_Count,TD-KODMSO36H-2_Read_Count,TD-KODMSO36H-3_Read_Count,RC802ROPI36H-1_Read_Count,RC802ROPI36H-2_Read_Count,RC802ROPI36H-3_Read_Count,TDP43ROPI36H-1_Read_Count,TDP43ROPI36H-2_Read_Count,TDP43ROPI36H-3_Read_Count,TD-KOROPI36H-1_Read_Count,TD-KOROPI36H-2_Read_Count,TD-KOROPI36H-3_Read_Count,RC802DMSO84H-1_Read_Count,RC802DMSO84H-2_Read_Count,RC802DMSO84H-3_Read_Count,TDP43DMSO84H-1_Read_Count,TDP43DMSO84H-2_Read_Count,TDP43DMSO84H-3_Read_Count,TD-KODMSO84H-1_Read_Count,TD-KODMSO84H-2_Read_Count,TD-KODMSO84H-3_Read_Count,RC802ROPI84H-1_Read_Count,RC802ROPI84H-2_Read_Count,RC802ROPI84H-3_Read_Count,TDP43ROPI84H-1_Read_Count,TDP43ROPI84H-2_Read_Count,TDP43ROPI84H-3_Read_Count,TD-KOROPI84H-1_Read_Count,TD-KOROPI84H-2_Read_Count,TD-KOROPI84H-3_Read_Count,RC802DMSO6H-1_FPKM,RC802DMSO6H-2_FPKM,RC802DMSO6H-3_FPKM,TDP43DMSO6H-1_FPKM,TDP43DMSO6H-2_FPKM,TDP43DMSO6H-3_FPKM,TD-KODMSO6H-1_FPKM,TD-KODMSO6H-2_FPKM,TD-KODMSO6H-3_FPKM,RC802ROPI6H-1_FPKM,RC802ROPI6H-2_FPKM,RC802ROPI6H-3_FPKM,TDP43ROPI6H-1_FPKM,TDP43ROPI6H-2_FPKM,TDP43ROPI6H-3_FPKM,TD-KOROPI6H-1_FPKM,TD-KOROPI6H-2_FPKM,TD-KOROPI6H-3_FPKM,RC802DMSO36H-1_FPKM,RC802DMSO36H-2_FPKM,RC802DMSO36H-3_FPKM,TDP43DMSO36H-1_FPKM,TDP43DMSO36H-2_FPKM,TDP43DMSO36H-3_FPKM,TD-KODMSO36H-1_FPKM,TD-KODMSO36H-2_FPKM,TD-KODMSO36H-3_FPKM,RC802ROPI36H-1_FPKM,RC802ROPI36H-2_FPKM,RC802ROPI36H-3_FPKM,TDP43ROPI36H-1_FPKM,TDP43ROPI36H-2_FPKM,TDP43ROPI36H-3_FPKM,TD-KOROPI36H-1_FPKM,TD-KOROPI36H-2_FPKM,TD-KOROPI36H-3_FPKM,RC802DMSO84H-1_FPKM,RC802DMSO84H-2_FPKM,RC802DMSO84H-3_FPKM,TDP43DMSO84H-1_FPKM,TDP43DMSO84H-2_FPKM,TDP43DMSO84H-3_FPKM,TD-KODMSO84H-1_FPKM,TD-KODMSO84H-2_FPKM,TD-KODMSO84H-3_FPKM,RC802ROPI84H-1_FPKM,RC802ROPI84H-2_FPKM,RC802ROPI84H-3_FPKM,TDP43ROPI84H-1_FPKM,TDP43ROPI84H-2_FPKM,TDP43ROPI84H-3_FPKM,TD-KOROPI84H-1_FPKM,TD-KOROPI84H-2_FPKM,TD-KOROPI84H-3_FPKM,RC802DMSO6H-1_TPM,RC802DMSO6H-2_TPM,RC802DMSO6H-3_TPM,TDP43DMSO6H-1_TPM,TDP43DMSO6H-2_TPM,TDP43DMSO6H-3_TPM,TD-KODMSO6H-1_TPM,TD-KODMSO6H-2_TPM,TD-KODMSO6H-3_TPM,RC802ROPI6H-1_TPM,RC802ROPI6H-2_TPM,RC802ROPI6H-3_TPM,TDP43ROPI6H-1_TPM,TDP43ROPI6H-2_TPM,TDP43ROPI6H-3_TPM,TD-KOROPI6H-1_TPM,TD-KOROPI6H-2_TPM,TD-KOROPI6H-3_TPM,RC802DMSO36H-1_TPM,RC802DMSO36H-2_TPM,RC802DMSO36H-3_TPM,TDP43DMSO36H-1_TPM,TDP43DMSO36H-2_TPM,TDP43DMSO36H-3_TPM,TD-KODMSO36H-1_TPM,TD-KODMSO36H-2_TPM,TD-KODMSO36H-3_TPM,RC802ROPI36H-1_TPM,RC802ROPI36H-2_TPM,RC802ROPI36H-3_TPM,TDP43ROPI36H-1_TPM,TDP43ROPI36H-2_TPM,TDP43ROPI36H-3_TPM,TD-KOROPI36H-1_TPM,TD-KOROPI36H-2_TPM,TD-KOROPI36H-3_TPM,RC802DMSO84H-1_TPM,RC802DMSO84H-2_TPM,RC802DMSO84H-3_TPM,TDP43DMSO84H-1_TPM,TDP43DMSO84H-2_TPM,TDP43DMSO84H-3_TPM,TD-KODMSO84H-1_TPM,TD-KODMSO84H-2_TPM,TD-KODMSO84H-3_TPM,RC802ROPI84H-1_TPM,RC802ROPI84H-2_TPM,RC802ROPI84H-3_TPM,TDP43ROPI84H-1_TPM,TDP43ROPI84H-2_TPM,TDP43ROPI84H-3_TPM,TD-KOROPI84H-1_TPM,TD-KOROPI84H-2_TPM,TD-KOROPI84H-3_TPM
9,"NM_000662,NM_001160170,NM_001160171,NM_001160172,NM_001160173,NM_001160174,NM_001160175,NM_001160176,NM_001160179,NM_001291962,XM_006716410,XM_011544687,XM_011544688,XM_011544689,XM_017013947",NAT1,N-acetyltransferase 1,protein_coding,NP_000653.3;NP_001153642.1;NP_001153643.1;NP_001153644.1;NP_001153645.1;NP_001153646.1;NP_001153647.1;NP_001153648.1;NP_001153651.1;NP_001278891.1;XP_006716473.1;XP_011542989.1;XP_011542990.1;XP_011542991.1;XP_016869436.1,7645,108345,.,.,10,10,21,76,51,25,25,40,46,13,8,23,47,41,42,29,35,43,14,2,12,20,13,13,25,15,17,21,6,20,14,11,22,28,21,5,8,11,8,14,24,18,14,5,22,6,6,7,26,23,25,15,12,15,0.105815,0.091098,0.224994,0.972228,0.554105,0.281165,0.249331,0.410561,0.442659,0.119402,0.107718,0.207185,0.356501,0.393569,0.551081,0.331792,0.357740,0.417561,0.156420,0.016672,0.083299,0.171278,0.131722,0.128788,0.284234,0.147904,0.193912,0.234194,0.068507,0.234634,0.131406,0.134083,0.204837,0.289005,0.248077,0.054743,0.086965,0.086826,0.084450,0.112667,0.260193,0.184427,0.136041,0.036084,0.217507,0.067755,0.068061,0.070544,0.231314,0.189625,0.217701,0.162135,0.103981,0.138007,0.339193,0.291258,0.725082,3.031545,1.742179,0.881441,0.784392,1.290646,1.377601,0.385139,0.343241,0.655076,1.110549,1.229864,1.715997,1.013876,1.103847,1.272877,0.508832,0.054373,0.268202,0.540182,0.420762,0.408140,0.904751,0.475069,0.615686,0.754925,0.222565,0.749446,0.406306,0.424093,0.645911,0.925091,0.794368,0.174470,0.230027,0.242098,0.239504,0.357842,0.840853,0.590608,0.441482,0.116522,0.700481,0.178776,0.186342,0.197006,0.615718,0.513463,0.604671,0.444669,0.292061,0.395655
15,"NM_001088,NM_001166579,NR_110548,XM_017024259",AANAT,aralkylamine N-acetyltransferase,protein_coding,NP_001079.1;NP_001160051.1;XP_016879748.1,19,600950,.,.,0,8,9,20,5,8,5,17,4,7,9,15,15,0,5,2,7,6,11,8,0,9,14,0,2,0,4,4,16,7,0,0,0,0,2,0,0,7,0,2,2,4,0,0,0,0,8,11,4,2,7,4,2,0,0.000000,0.041703,0.051328,0.284766,0.020928,0.078605,0.074288,0.228525,0.016418,0.024048,0.059006,0.146780,0.161738,0.000000,0.030662,0.010897,0.039779,0.028598,0.057044,0.037109,0.000000,0.042802,0.074494,0.000000,0.012550,0.000000,0.018363,0.016314,0.128915,0.078412,0.000000,0.000000,0.000000,0.000000,0.011299,0.000000,0.000000,0.028462,0.000000,0.009799,0.010155,0.020575,0.000000,0.000000,0.000000,0.000000,0.042994,0.052447,0.018186,0.009909,0.078146,0.020623,0.009952,0.000000,0.000000,0.133332,0.165414,0.887942,0.065800,0.246421,0.233708,0.718395,0.051095,0.077568,0.188022,0.464089,0.503835,0.000000,0.095479,0.033297,0.122743,0.087178,0.185562,0.121023,0.000000,0.134991,0.237958,0.000000,0.039949,0.000000,0.058303,0.052588,0.418818,0.250454,0.000000,0.000000,0.000000,0.000000,0.036181,0.000000,0.000000,0.079362,0.000000,0.031123,0.032818,0.065890,0.000000,0.000000,0.000000,0.000000,0.117712,0.146466,0.048408,0.026831,0.217051,0.056559,0.027954,0.000000
18,"NM_000663,NM_001127448,NM_020686,XM_011522400,XM_011522401",ABAT,4-aminobutyrate aminotransferase,protein_coding,NP_000654.2;NP_001120920.1;NP_065737.2;XP_011520702.1;XP_011520703.1,23,137150,.,.,3823,4264,3647,1267,1347,1041,1747,1846,2154,5449,3859,5583,1516,1120,1203,1599,1664,2050,4302,3962,4175,1569,1431,1799,1768,2352,2075,4105,3561,3909,1359,1348,1624,2057,1973,1707,3790,5266,4763,2619,3261,3545,3836,4360,4809,3841,5027,5901,2572,2818,2905,3092,3892,4057,18.842154,19.528687,17.758485,5.683083,5.692771,5.397377,6.629261,7.263044,7.438492,20.121223,19.725740,18.643189,6.098708,5.215901,6.191005,7.194363,7.755034,8.059301,18.686892,17.636953,17.034925,6.946924,6.159488,6.798306,9.225309,10.019243,10.133233,18.647059,17.710735,17.619520,6.063169,6.740224,7.358292,9.467026,9.264829,8.547073,16.104351,20.768052,21.057161,10.596174,13.857213,14.884350,15.231378,16.809031,17.861565,17.342658,23.623063,24.525467,9.210693,11.279588,12.831370,13.188692,15.894162,15.617191,60.398989,62.436801,57.229772,17.720660,17.898817,16.920555,20.855566,22.832181,23.149356,64.902073,62.855839,58.945866,18.998289,16.299169,19.278010,21.984251,23.929088,24.567687,60.788377,57.519595,54.848084,21.909405,19.675416,21.544439,29.365239,32.181781,32.173887,60.108752,57.538428,56.278347,18.747124,21.318703,23.202855,30.303528,29.666863,27.239866,42.597356,57.907817,59.719375,33.654493,44.781805,47.665627,49.429331,54.279516,57.523198,45.759617,64.677097,68.491645,24.517284,30.542664,35.639544,36.171148,44.643593,44.773369
19,"NM_005502,XM_005251773,XM_005251776,XM_011518339,XM_011518340,XM_011518341,XM_011518342,XM_011518344,XM_017014378,XM_017014379,XM_017014380,XM_017014381,XM_017014382,XR_001746223",ABCA1,ATP binding cassette subfamily A member 1,protein_coding,NP_005493.2;XP_005251830.1;XP_005251833.1;XP_011516641.1;XP_011516642.1;XP_011516643.1;XP_011516644.1;XP_011516646.1;XP_016869867.1;XP_016869868.1;XP_016869869.1;XP_016869870.1;XP_016869871.1,29,600046,.,.,5329,5876,4944,4182,4497,3925,5028,4524,5028,6980,5085,6651,5111,4323,3557,3833,3492,4608,4447,3980,3520,3499,3388,3219,2976,3447,2576,4237,3595,3448,2839,2743,2893,3506,3163,2510,722,823,649,1975,1804,1712,1752,1977,1944,574,551,603,656,549,596,645,659,612,13.478034,13.120487,12.311906,9.510214,9.781607,10.298157,10.073357,9.106682,9.043071,12.342382,13.432193,11.634826,9.889525,10.308432,8.918429,8.709959,8.324040,9.104728,9.742423,8.710886,7.507309,7.583073,7.733530,6.409244,7.678651,7.489107,6.417124,9.857487,9.062761,8.044108,6.372126,7.105232,6.562842,8.026598,7.298160,6.449956,1.447847,1.523395,1.467193,3.971729,3.745912,3.579591,3.541254,3.774115,3.571890,1.246953,1.139723,1.199374,1.147530,1.065644,1.299463,1.378822,1.409660,1.147076,43.204168,41.948612,39.677236,29.654201,30.754654,32.284296,31.690645,28.627863,28.142976,39.811012,42.801527,36.786887,30.807188,32.212819,27.770868,26.615546,25.684823,27.754525,31.692057,28.408911,24.171605,23.915704,24.703412,20.311465,24.442045,24.054990,20.374922,31.775589,29.442986,25.693612,19.702405,22.473188,20.694571,25.692776,23.369404,20.556265,3.829678,4.247702,4.161048,12.614606,12.105513,11.463278,11.492188,12.187324,11.503277,3.290158,3.120426,3.349461,3.054528,2.885530,3.609300,3.781540,3.959461,3.288585
25,"NM_005157,NM_007313",ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",protein_coding,NP_005148.2;NP_009297.2,76,189980,.,.,8012,8881,8027,12226,12720,10717,14037,13387,15428,11278,7561,11118,14235,11470,10814,11968,12030,14037,8559,8063,8326,11711,10953,11961,9410,10952,9248,7713,6794,8060,11107,10211,10752,10395,9943,9012,3981,5312,4854,11855,10760,10195,10225,10351,11225,3936,4524,4779,8205,7393,7423,6780,7728,8512,36.920282,36.515311,36.600915,51.454568,50.114342,51.251308,51.984228,49.762321,50.502918,36.512562,36.619175,35.458611,50.753368,49.074911,49.967814,50.327162,52.176921,50.495174,34.426836,32.179159,32.533960,46.670368,45.014879,44.175838,44.499392,43.628460,42.653712,33.029069,31.133347,34.341346,45.833897,48.787105,45.056411,43.408835,42.401638,42.751821,15.223508,18.132752,20.170217,43.990584,41.120364,39.434610,38.096690,36.350021,37.966362,15.911037,18.420892,17.574403,28.032097,28.090626,29.975388,26.740686,28.770015,31.428233,118.348874,116.746149,117.952747,160.442661,157.566063,160.670715,163.541708,156.433361,157.170332,117.773214,116.686571,112.112717,158.103516,153.354179,155.593510,153.787768,160.998167,153.927684,111.990343,104.946264,104.750995,147.190285,143.792191,139.997187,141.646776,140.134486,135.429186,106.469120,101.145641,109.689387,141.716930,154.309099,142.076100,138.949712,135.774094,136.251780,40.267454,50.559780,57.203949,139.718430,132.887048,126.285355,123.632549,117.381048,122.270719,41.982200,50.434180,49.079588,74.616623,76.063282,83.257592,73.338683,80.809351,90.102489
28,NM_020469,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",protein_coding,NP_065202.2,79,110300,.,.,17,28,10,33,29,16,58,63,84,22,19,19,32,35,38,36,48,45,4,5,0,6,4,2,0,7,8,7,0,7,0,0,0,4,0,0,0,4,0,2,10,0,8,20,6,6,0,1,0,0,0,0,3,0,0.066742,0.099852,0.039893,0.122116,0.100026,0.067803,0.190469,0.207800,0.242664,0.060944,0.079283,0.051479,0.100001,0.134834,0.153018,0.132149,0.181803,0.142402,0.014216,0.015099,0.000000,0.020646,0.014882,0.006547,0.000000,0.024615,0.030297,0.024293,0.000000,0.024408,0.000000,0.000000,0.000000,0.013619,0.000000,0.000000,0.000000,0.011819,0.000000,0.006571,0.033576,0.000000,0.025021,0.059841,0.016074,0.019217,0.000000,0.000940,0.000000,0.000000,0.000000,0.000000,0.007929,0.000000,0.213942,0.319244,0.128561,0.380776,0.314496,0.212558,0.599214,0.653243,0.755196,0.196578,0.252634,0.162766,0.311516,0.421343,0.476478,0.403817,0.560976,0.434094,0.046243,0.049243,0.000000,0.065114,0.047539,0.020749,0.000000,0.079063,0.096194,0.078308,0.000000,0.077962,0.000000,0.000000,0.000000,0.043594,0.000000,0.000000,0.000000,0.032955,0.000000,0.020869,0.108506,0.000000,0.081200,0.193238,0.051766,0.050705,0.000000,0.002625,0.000000,0.000000,0.000000,0.000000,0.022271,0.000000
32,"NM_001093,XM_006719367,XM_011538259,XM_011538263,XM_011538264,XM_011538265,XM_017019252,XR_002957320,XR_002957321,XR_002957322,XR_944530,XR_944532",ACACB,acetyl-CoA carboxylase beta,protein_coding,NP_001084.3;XP_006719430.1;XP_011536561.1;XP_011536565.1;XP_011536566.1;XP_011536567.1;XP_016874741.1,85,601557,.,.,96,120,49,81,48,45,65,55,63,148,109,124,67,50,74,53,51,55,41,32,44,46,46,58,35,42,47,57,28,43,32,28,50,22,26,44,8,8,13,61,61,35,51,73,36,12,11,5,0,12,11,0,11,9,0.237774,0.263691,0.118797,0.245863,0.103486,0.115435,0.127055,0.108819,0.112670,0.257581,0.283367,0.256982,0.128321,0.118274,0.180455,0.118014,0.117998,0.134169,0.086667,0.067129,0.091754,0.098027,0.101291,0.150471,0.088247,0.087887,0.113766,0.130797,0.069112,0.097669,0.069244,0.070872,0.111203,0.048084,0.058036,0.109189,0.015681,0.013280,0.026904,0.121830,0.124261,0.072958,0.100981,0.137196,0.064664,0.025944,0.023813,0.009349,0.000000,0.024217,0.021732,0.000000,0.022128,0.016690,0.762190,0.843069,0.382844,0.766634,0.325374,0.361885,0.399715,0.342084,0.350639,0.830840,0.902946,0.812523,0.399739,0.369593,0.561914,0.360623,0.364098,0.408994,0.281929,0.218929,0.295425,0.309159,0.323557,0.476858,0.280901,0.282292,0.361216,0.421622,0.224529,0.311964,0.214100,0.224162,0.350657,0.153915,0.185837,0.347989,0.041478,0.037030,0.076300,0.386944,0.401569,0.233642,0.327705,0.443033,0.208252,0.068455,0.065198,0.026108,0.000000,0.065575,0.060362,0.000000,0.062152,0.047849
39,"NM_001303253,NM_005891",ACAT2,acetyl-CoA acetyltransferase 2,protein_coding,NP_001290182.1;NP_005882.2,94,100678,.,.,7603,8104,7683,6116,6354,5516,8492,8407,9884,11660,8111,12530,8137,6348,5891,8351,7827,9394,4502,5103,6750,4667,5120,6170,2631,3140,2886,4357,4832,5653,6145,4843,5661,3089,3216,3171,16450,18801,17447,4582,4172,4479,4325,4975,5703,16325,18806,21888,7168,6038,6028,5447,5648,5966,128.916045,121.977473,128.640946,94.187306,92.887070,96.502656,115.291246,114.257012,118.776871,138.448558,143.490664,146.277245,105.808850,101.033592,99.956303,128.073540,124.285889,123.540848,66.294089,74.522680,96.634920,68.849553,78.853476,83.535338,45.704327,45.895168,48.847519,68.644417,81.762962,88.575967,93.299701,85.259823,87.329672,47.739125,50.145681,55.076380,231.605788,237.724794,267.902394,62.265699,58.318373,64.276721,59.042787,63.713326,70.688284,244.015925,281.671550,297.166212,90.879066,84.838879,89.302783,79.081249,78.022642,81.131587,413.243545,389.984371,414.567566,293.689391,292.049101,302.531811,362.704704,359.179535,369.645961,446.573193,457.231312,462.498077,329.608681,315.719835,311.251381,391.362103,383.499071,376.597503,215.654370,243.041655,311.139633,217.139589,251.883703,264.730961,145.482225,147.415163,155.095072,221.275106,265.630501,282.919699,288.479664,269.668908,275.376114,152.810785,160.571247,175.530653,612.616733,662.850962,759.787372,197.762003,188.465170,205.839717,191.607465,205.742302,227.651704,643.850289,771.182751,829.888435,241.904476,229.725159,248.041326,216.887300,219.150337,232.598450
43,"NM_000665,NM_001282449,NM_001302621,NM_001302622,NM_001367915,NM_001367917,NM_001367918,NM_001367919,NR_160407,NR_160408",ACHE,acetylcholinesterase (Cartwright blood group),protein_coding,NP_000656.1;NP_001269378.1;NP_001289550.1;NP_001289551.1;NP_001354844.1;NP_001354846.1;NP_001354847.1;NP_001354848.1,108,100740,.,.,2476,2846,2749,2036,2211,1744,2939,2879,2907,3151,2103,3438,2023,1776,1582,2370,2341,2663,3133,3875,4241,2370,2298,2716,2420,2926,2655,2818,2515,3451,2080,1690,2020,2361,2451,2288,7011,10142,7924,3708,3825,3648,3926,4619,4652,6985,7692,7959,4379,4459,3994,4880,4939,5113,28.815336,29.133443,30.976869,20.823169,21.483450,20.961309,26.552399,26.137352,23.709609,24.950934,24.903532,26.647527,17.848521,18.971802,17.852332,23.728569,24.767514,23.252556,30.476405,38.283384,41.049510,23.118070,22.983682,24.289780,27.473832,27.988910,29.722692,29.748433,28.517774,36.077055,20.838356,19.683907,19.801384,23.700246,25.190051,26.439684,66.493124,86.855012,80.858171,33.509625,34.370549,34.443218,35.971329,39.715342,38.423426,70.540526,78.093429,73.995636,37.091315,41.600638,39.689678,48.392990,45.805189,46.210569,92.368263,93.144969,99.828282,64.929600,67.546780,65.712835,83.533492,82.165649,73.786770,80.480562,79.354815,84.253910,55.600521,59.284978,55.589925,72.508824,76.423145,70.882262,99.139608,124.854045,132.168886,72.910408,73.417370,76.976484,87.452423,89.900295,94.372093,95.893991,92.648204,115.233395,64.431520,62.258379,62.439580,75.863421,80.660946,84.264333,175.879867,242.178918,229.318641,106.429874,111.073937,110.300931,116.735262,128.248297,123.742690,186.125311,213.810380,206.645724,98.730702,112.645444,110.239348,132.722035,128.657817,132.482397
54,"NM_001111034,NM_001111035,NM_001111036,NM_001322023,NM_001611,XM_005259938,XM_011528069",ACP5,"acid phosphatase 5, tartrate resistant",protein_coding,NP_001104504.1;NP_001104505.1;NP_001104506.1;NP_001308952.1;NP_001602.1;XP_005259995.1;XP_011526371.1,124,171640,.,.,11,14,7,14,0,4,0,14,8,18,0,23,9,2,0,0,2,16,3,8,7,3,3,7,0,0,0,14,5,5,2,0,0,0,6,0,6,6,0,3,3,7,4,7,0,7,0,3,0,4,7,4,0,4,0.157181,0.180000,0.096476,0.184677,0.000000,0.047056,0.000000,0.167422,0.077831,0.210957,0.000000,0.233497,0.092913,0.027996,0.000000,0.000000,0.028025,0.177156,0.026202,0.103797,0.087229,0.026382,0.037067,0.075785,0.000000,0.000000,0.000000,0.181506,0.059956,0.055594,0.026519,0.000000,0.000000,0.000000,0.082895,0.000000,0.066391,0.061669,0.000000,0.024162,0.024945,0.075724,0.026142,0.069162,0.000000,0.088838,0.000000,0.023957,0.000000,0.047765,0.053319,0.043225,0.000000,0.042436,0.503849,0.575493,0.310912,0.575848,0.000000,0.147520,0.000000,0.526310,0.242217,0.680453,0.000000,0.738269,0.289435,0.087484,0.000000,0.000000,0.086475,0.540035,0.085234,0.338514,0.280854,0.083205,0.118404,0.240169,0.000000,0.000000,0.000000,0.585084,0.194784,0.177573,0.081994,0.000000,0.000000,0.000000,0.265439,0.000000,0.175611,0.171951,0.000000,0.076741,0.080613,0.242498,0.084838,0.223338,0.000000,0.234405,0.000000,0.066904,0.000000,0.129336,0.148093,0.118549,0.000000,0.121661
56,"NM_001612,NM_020069,NM_020107,NM_020108",ACRV1,acrosomal vesicle protein 1,protein_coding,NP_001603.1;NP_064454.1;NP_064492.1;NP_064493.1,127,102525,.,.,7,10,11,11,10,0,0,12,8,6,0,5,4,6,5,6,0,0,0,3,0,0,0,4,0,7,7,0,0,7,0,7,0,5,0,7,4,3,0,0,0,3,0,0,10,6,6,0,13,6,12,4,3,5,0.092330,0.119509,0.135540,0.123279,0.108189,0.000000,0.000000,0.123212,0.076072,0.047962,0.000000,0.037183,0.040247,0.069292,0.055405,0.061523,0.000000,0.000000,0.000000,0.034929,0.000000,0.000000,0.000000,0.034397,0.000000,0.079473,0.070771,0.000000,0.000000,0.069430,0.000000,0.089563,0.000000,0.060882,0.000000,0.094425,0.041674,0.029922,0.000000,0.000000,0.000000,0.027740,0.000000,0.000000,0.097955,0.068430,0.062052,0.000000,0.116943,0.062650,0.134239,0.039148,0.028351,0.053734,0.295967,0.382091,0.436800,0.384401,0.340160,0.000000,0.000000,0.387331,0.236743,0.154705,0.000000,0.117564,0.125375,0.216529,0.172524,0.188001,0.000000,0.000000,0.000000,0.113914,0.000000,0.000000,0.000000,0.109007,0.000000,0.255266,0.224702,0.000000,0.000000,0.221765,0.000000,0.283281,0.000000,0.194882,0.000000,0.300935,0.110231,0.083431,0.000000,0.000000,0.000000,0.088834,0.000000,0.000000,0.315463,0.180555,0.169891,0.000000,0.311282,0.169644,0.372853,0.107366,0.079633,0.154052
58,NM_001100,ACTA1,"actin alpha 1, skeletal muscle",protein_coding,NP_001091.1,129,102610,.,.,43,43,48,76,41,56,33,54,67,35,22,42,59,41,59,26,39,55,19,39,30,27,30,21,20,37,6,21,8,34,37,29,32,34,27,10,34,51,24,27,11,12,22,12,16,33,40,58,18,10,15,27,12,10,0.742310,0.666057,0.827746,1.200379,0.607945,1.012825,0.452680,0.746554,0.814942,0.425986,0.390330,0.502040,0.787893,0.666899,1.022948,0.402872,0.633650,0.736092,0.282081,0.580618,0.429302,0.394149,0.473394,0.289275,0.355424,0.555284,0.093707,0.327213,0.122987,0.534533,0.567353,0.513126,0.500431,0.525038,0.422966,0.179205,0.486014,0.659013,0.365322,0.367588,0.146664,0.171672,0.298539,0.157211,0.200759,0.497030,0.605431,0.794560,0.232482,0.139863,0.213390,0.396606,0.160481,0.135306,2.379493,2.129507,2.667555,3.742954,1.911458,3.175165,1.424127,2.346874,2.536185,1.374039,1.243783,1.587344,2.454391,2.083994,3.185333,1.231080,1.955203,2.243877,0.917609,1.893577,1.382241,1.243078,1.512173,0.916738,1.131357,1.783569,0.297529,1.054772,0.399560,1.707347,1.754237,1.622969,1.578005,1.680624,1.354378,0.571134,1.285548,1.837533,1.036076,1.167497,0.473969,0.549762,0.968829,0.507665,0.646546,1.311443,1.657596,2.218948,0.618826,0.378719,0.592697,1.087727,0.450760,0.387914
59,"NM_001141945,NM_001320855,NM_001613",ACTA2,"actin alpha 2, smooth muscle",protein_coding,NP_001135417.1;NP_001307784.1;NP_001604.1,130,102620,.,.,80,110,78,67,64,22,47,60,59,130,84,120,48,51,32,28,45,45,166,146,132,68,55,42,70,105,42,219,159,144,75,45,48,68,87,42,713,661,355,80,95,79,87,104,104,610,465,438,80,99,106,152,110,157,1.374647,1.660016,1.237816,0.891030,0.806078,0.328670,0.547075,0.708145,0.606010,1.423683,1.499246,1.364086,0.538391,0.713993,0.462030,0.364972,0.616175,0.502843,2.346021,2.112654,1.889405,0.857703,0.734548,0.489137,1.303630,1.433500,0.605144,3.292850,2.501113,2.416056,0.985574,0.740473,0.639124,0.897681,1.202938,0.628377,10.567426,9.160856,5.948518,0.958262,1.236698,0.991378,1.034989,1.216813,1.124662,9.825499,7.626900,6.034459,0.871683,1.281633,1.733905,1.909876,1.365044,1.916735,4.406462,5.307378,3.989077,2.778358,2.534415,1.030365,1.721090,2.226131,1.885966,4.592163,4.777331,4.312955,1.677159,2.231157,1.438703,1.115267,1.901283,1.532846,7.631595,6.890025,6.083398,2.705046,2.346385,1.550119,4.149604,4.604398,1.921385,10.614494,8.125584,7.717104,3.047361,2.342046,2.015346,2.873432,3.851923,2.002661,27.951730,25.543328,16.870358,3.043535,3.996586,3.174788,3.358779,3.929319,3.621975,25.925153,20.881529,16.852281,2.320269,3.470383,4.815975,5.238003,3.834142,5.495142
